Task,Batch Size,Precision,Signal Size,Elapsed Time (ms)
Creation_FFT,10,Float32,1024,3.93216
Creation_IFFT,10,Float32,1024,0.582624
FFT-Iteration 1,10,Float32,1024,0.040832
IFFT-Iteration 1,10,Float32,1024,0.013312
Creation_FFT,10,Float16,1024,0.556064
Creation_IFFT,10,Float16,1024,0.429056
FFT-Iteration 1,10,Float16,1024,0.03072
IFFT-Iteration 1,10,Float16,1024,0.013312
Creation_FFT,10,Float64,1024,3.78323
Creation_IFFT,10,Float64,1024,0.882688
FFT-Iteration 1,10,Float64,1024,0.05632
IFFT-Iteration 1,10,Float64,1024,0.031744
Creation_FFT,10,Float32,2048,3.97651
Creation_IFFT,10,Float32,2048,0.817248
FFT-Iteration 1,10,Float32,2048,0.0512
IFFT-Iteration 1,10,Float32,2048,0.016384
Creation_FFT,10,Float16,2048,0.905216
Creation_IFFT,10,Float16,2048,0.548736
FFT-Iteration 1,10,Float16,2048,0.043008
IFFT-Iteration 1,10,Float16,2048,0.016384
Creation_FFT,10,Float64,2048,2.78589
Creation_IFFT,10,Float64,2048,0.835584
FFT-Iteration 1,10,Float64,2048,0.064512
IFFT-Iteration 1,10,Float64,2048,0.045056
Creation_FFT,10,Float32,4096,4.31552
Creation_IFFT,10,Float32,4096,0.857088
FFT-Iteration 1,10,Float32,4096,0.053248
IFFT-Iteration 1,10,Float32,4096,0.017408
Creation_FFT,10,Float16,4096,1.10202
Creation_IFFT,10,Float16,4096,0.70304
FFT-Iteration 1,10,Float16,4096,0.049312
IFFT-Iteration 1,10,Float16,4096,0.017408
Creation_FFT,10,Float64,4096,5.1552
Creation_IFFT,10,Float64,4096,1.9456
FFT-Iteration 1,10,Float64,4096,0.124928
IFFT-Iteration 1,10,Float64,4096,0.098304
Creation_FFT,100,Float32,1024,4.48986
Creation_IFFT,100,Float32,1024,0.852992
FFT-Iteration 1,100,Float32,1024,0.05632
IFFT-Iteration 1,100,Float32,1024,0.019456
Creation_FFT,100,Float16,1024,1.37693
Creation_IFFT,100,Float16,1024,0.812896
FFT-Iteration 1,100,Float16,1024,0.065536
IFFT-Iteration 1,100,Float16,1024,0.031584
Creation_FFT,100,Float64,1024,2.90278
Creation_IFFT,100,Float64,1024,0.962592
FFT-Iteration 1,100,Float64,1024,0.115712
IFFT-Iteration 1,100,Float64,1024,0.094208
Creation_FFT,100,Float32,2048,4.1217
Creation_IFFT,100,Float32,2048,1.03834
FFT-Iteration 1,100,Float32,2048,0.054272
IFFT-Iteration 1,100,Float32,2048,0.02048
Creation_FFT,100,Float16,2048,1.19958
Creation_IFFT,100,Float16,2048,0.503968
FFT-Iteration 1,100,Float16,2048,0.046464
IFFT-Iteration 1,100,Float16,2048,0.02048
Creation_FFT,100,Float64,2048,3.1497
Creation_IFFT,100,Float64,2048,0.934912
FFT-Iteration 1,100,Float64,2048,0.19968
IFFT-Iteration 1,100,Float64,2048,0.172032
Creation_FFT,100,Float32,4096,4.94141
Creation_IFFT,100,Float32,4096,1.18886
FFT-Iteration 1,100,Float32,4096,0.060416
IFFT-Iteration 1,100,Float32,4096,0.023552
Creation_FFT,100,Float16,4096,1.35094
Creation_IFFT,100,Float16,4096,0.92928
FFT-Iteration 1,100,Float16,4096,0.054272
IFFT-Iteration 1,100,Float16,4096,0.025504
Creation_FFT,100,Float64,4096,3.88266
Creation_IFFT,100,Float64,4096,1.50141
FFT-Iteration 1,100,Float64,4096,0.398336
IFFT-Iteration 1,100,Float64,4096,0.381952
Creation_FFT,1000,Float32,1024,4.45002
Creation_IFFT,1000,Float32,1024,0.780288
FFT-Iteration 1,1000,Float32,1024,0.058368
IFFT-Iteration 1,1000,Float32,1024,0.033792
Creation_FFT,1000,Float16,1024,1.27386
Creation_IFFT,1000,Float16,1024,0.750912
FFT-Iteration 1,1000,Float16,1024,0.063008
IFFT-Iteration 1,1000,Float16,1024,0.034816
Creation_FFT,1000,Float64,1024,3.27917
Creation_IFFT,1000,Float64,1024,0.992128
FFT-Iteration 1,1000,Float64,1024,0.646272
IFFT-Iteration 1,1000,Float64,1024,0.637952
Creation_FFT,1000,Float32,2048,4.32061
Creation_IFFT,1000,Float32,2048,0.976896
FFT-Iteration 1,1000,Float32,2048,0.090112
IFFT-Iteration 1,1000,Float32,2048,0.05632
Creation_FFT,1000,Float16,2048,1.22214
Creation_IFFT,1000,Float16,2048,0.752864
FFT-Iteration 1,1000,Float16,2048,0.081408
IFFT-Iteration 1,1000,Float16,2048,0.05632
Creation_FFT,1000,Float64,2048,3.64266
Creation_IFFT,1000,Float64,2048,0.949248
FFT-Iteration 1,1000,Float64,2048,1.34246
IFFT-Iteration 1,1000,Float64,2048,1.33939
Creation_FFT,1000,Float32,4096,4.90141
Creation_IFFT,1000,Float32,4096,1.2329
FFT-Iteration 1,1000,Float32,4096,0.116736
IFFT-Iteration 1,1000,Float32,4096,0.077696
Creation_FFT,1000,Float16,4096,1.45549
Creation_IFFT,1000,Float16,4096,1.06336
FFT-Iteration 1,1000,Float16,4096,0.10384
IFFT-Iteration 1,1000,Float16,4096,0.07888
Creation_FFT,1000,Float64,4096,3.88966
Creation_IFFT,1000,Float64,4096,1.18682
FFT-Iteration 1,1000,Float64,4096,3.01962
IFFT-Iteration 1,1000,Float64,4096,3.08736
Creation_FFT,10000,Float32,1024,5.14557
Creation_IFFT,10000,Float32,1024,1.26771
FFT-Iteration 1,10000,Float32,1024,0.351232
IFFT-Iteration 1,10000,Float32,1024,0.416768
Creation_FFT,10000,Float16,1024,1.26736
Creation_IFFT,10000,Float16,1024,0.772448
FFT-Iteration 1,10000,Float16,1024,0.24192
IFFT-Iteration 1,10000,Float16,1024,0.217088
Creation_FFT,10000,Float64,1024,3.51053
Creation_IFFT,10000,Float64,1024,1.14899
FFT-Iteration 1,10000,Float64,1024,6.03136
IFFT-Iteration 1,10000,Float64,1024,6.19814
Creation_FFT,10000,Float32,2048,4.7119
Creation_IFFT,10000,Float32,2048,1.14586
FFT-Iteration 1,10000,Float32,2048,0.775296
IFFT-Iteration 1,10000,Float32,2048,0.809984
Creation_FFT,10000,Float16,2048,1.24954
Creation_IFFT,10000,Float16,2048,0.703328
FFT-Iteration 1,10000,Float16,2048,0.449888
IFFT-Iteration 1,10000,Float16,2048,0.432128
Creation_FFT,10000,Float64,2048,3.08835
Creation_IFFT,10000,Float64,2048,1.13357
FFT-Iteration 1,10000,Float64,2048,12.9587
IFFT-Iteration 1,10000,Float64,2048,13.1082
Creation_FFT,10000,Float32,4096,4.90877
Creation_IFFT,10000,Float32,4096,1.37517
FFT-Iteration 1,10000,Float32,4096,1.56774
IFFT-Iteration 1,10000,Float32,4096,1.61997
Creation_FFT,10000,Float16,4096,1.94182
Creation_IFFT,10000,Float16,4096,1.71059
FFT-Iteration 1,10000,Float16,4096,0.810656
IFFT-Iteration 1,10000,Float16,4096,0.80896
Creation_FFT,10000,Float64,4096,4.52202
Creation_IFFT,10000,Float64,4096,1.70918
FFT-Iteration 1,10000,Float64,4096,29.5967
IFFT-Iteration 1,10000,Float64,4096,30.5244
